,text,prediction
16165,"AITA for getting a gift in the mail? I got a gift in the mail today. Addressed to me with my address and my full name (people usually call me by my nickname). There were two necklaces, a ring, a guitar tuner with batteries, guitar strings and a tactical weapon to use in your fist if you want to punch someone.

My fiance is accusing me of cheating on him because the handwriting on the box looks like a man may have wrote it.

I'm definitely not cheating on him. Someone knows my full name and obviously knows I'm learning guitar. I'm seriously freaked out and worried about it because of the tactical tool in the box, too.

My plan of action is calling the USPS tomorrow and see if there is any info on the tracking number. After that, I'm calling the police to make a report to have on record.

My fiance is telling me that he thinks I'm cheating on him because of all this stuff. My fiance is out of his ever-loving mind if he thinks I'd do that. I'll be 49 soon and I'm wayyyyy too old for that shit. I'm a good, honest woman. If I had something to hide, why would I show him? Makes no sense. I've offered to show him my internet history but he refuses to look at it.

I'm taking precautionary measures tomorrow in case I have a stalker somehow. Does that make me an asshole for getting a package of stuff I didn't want?",
20983,"AITA for being fat and wanting a not fat husband? Back at it again with another AITA post. TLDR at the end.

In my last post I was deemed to be an asshole about that (rightfully so), but I mentioned something that sparked some small side debate in the comments and even a damn private message. So now I must know if I'm the asshole for this too.

&#x200B;

I said in the post

\>I don’t want him to be fat, because I’m working hard not to be fat and I want a life partner with healthy habits.

I am an obese woman. My goal weight is 175lbs. At this moment I am 140lbs overweight, I was originally 205lbs overweight before I started getting my shit together. And part of that can be attributed to moving out on my own and finally being able to decide what my diet is.

&#x200B;

The struggle has been real for me with this damned food. Its the bane of my existence, but everyone in my life is super encouraging and I love them to pieces for it, but sometimes I still lack motivation and WANT to make stupid choices, but I don't make them as often as I want because there's no terrible food around me and I don't have people constantly trying to go out to eat or eating junk food surrounding me.

&#x200B;

So I don't want to reintroduce unhealthiness into my life when I know that food is always going to be a struggle for me. Therefore, I don't want a fat husband. I'm not talking about someone with some pudge. I mean I don't want an obese husband or even a thin husband with unhealthy eating habits. I want someone who is conscious of their health. If it's a bigger man, and he's dedicated to living a healthy life and losing weight, that's fine. So reddit... AITA for this?

&#x200B;

TLDR; AITA for wanting a husband who is healthy even though I am currently obese?

&#x200B;

Disclaimer: I'm not trying to say that weight is a sole indicator of health but I do know that someone who is 300+lbs and eats fast food daily isn't healthy. And someone who is obese is generally not healthy. I also don't support the ""healthy at every size"" movement because you're not healthy at 400lbs and you cannot convince me otherwise.

&#x200B;

Edit: I'm single there is no husband in the picture. This is something I'd be looking for in a future partner.",
40011,"WIBTA if I didn’t give my staff free shirts because there’s not a size for everyone? So for starters, I run a bar and a few weeks back I announced we’d be running a promo (this Friday) on a specific drink and that there’d be swag to give out and so on. As part of the promo I was told I would be able to get free shirts for the staff so I collected everyone’s sizes. Most of them wanted smalls and mediums but there was one request for a large and one request for a 2XL. I relayed all of our shirt sizes to the beverage rep and she told me she’d see what she could do.

Fast forward to yesterday and the beverage rep delivered the shirts, yay! Except they are all smalls and mediums with one large. So now I am left with one person without a shirt and that person is one who stays until close while most of the others are cut out early. She also has privately discussed with me that weight is a very sensitive topic for her, so I do not wish to upset her at all. Since I do not have a shirt for her I plan on telling my staff there was a change of plans and that the shirts will be given out to customers. I ran this by one of my senior staff and she threw a fit and said that life isn’t fair so I shouldn’t take away the free shirt from everyone else just because there isn’t one for one of them. 

So, WIBTA if I took away a gift from everyone just because one person wouldn’t be able to enjoy it?",
61256,"AITA for cutting off my mom? So there’s A LOT of context behind this. About two years ago I came out to her as transgender (mtf) and for a while she was super supportive.  When I started HRT she instantly changed and became aggressive against the idea.  She would threaten me with disowning, cutting me off financially, and used college as a bargaining chip against me.  This became extremely emotionally draining, as all of our discussions degraded into us fighting.  She would give the usual “you’re too young” and “i know you better and all your friends are brainwashed”.  It has degraded to the point where she believes in a medical conspiracy that is pushing me to be trans. I intentionally tried to avoid her and refused to come home to visit during holidays.  

The final straw came when I was in the hospital after a mental health episode and she has been shaming me for getting mental help.  She stated that I only when to the psych ward because “I wanted to get out of an exam”. I essentially told her that if she “Can’t swallow her pride long enough to admit she’s wrong then she has no reason to call this number”.  This, along with her threats of using this event as legal grounds to declare me incompetent has led to this decision.

There are other things as well, including her berating me for having mental health issues (since middle school) despite the fact they run particularly strong on my dad’s side.  Along with that, my father passed away 4 years ago and she began speaking worse and worse about him to the point she tried to convince me that I was abused.  She often uses this as justification for her actions despite the fact my dad knew I was queer since childhood and never once acted in malice against it.

I am concerned because she still tries to maintain that she treats me this way out of love but my mental health always improves dramatically when I’m away from her. She’s threatened that my family will “come after me” if I ever cut ties with her and I am partly concerned for my safety.  I have enough money and a deal made with the university so I can finish college without debt but I still fear what my mother might try to do to me legally since I had a severe breakdown earlier in the year.  I know she does this in some misguided intent of caring for me but I cannot mentally take it anymore as it has proven to be extremely detrimental to my health and safety. AITA for cutting ties with her?",
41686,"AITA for asking my wife to not get my name tattooed on her? We have been together for 15 years this December. Like all relationships we have had our fair share of ups and downs, but are still very much in love. She is my best friend and I’m hers. I couldn’t imagine my life without her. So why wouldn’t I want her to tattoo my name on her you might ask, well that’s a much longer story. 

&#x200B;

However, for as long as I can remember I’ve been dealing with depression, anxiety, social isolation, poor self esteem and loneliness. I didn’t know how to talk to people about my feelings or even truly understood what I was feeling. As I grow older, my anxiety and depression has continued to grow stronger. Not really understanding why, I really started to reflect heavily on my life, which is pretty amazing to be honest. I have a loving wife, amazing children, and a pretty good job. Still this monster continued to grow. After a lot of self reflecting and conversations with my wife, I’ve realized that I suffer from gender dysphoria. 

&#x200B;

This came as a shocking revelation, though there have always been signs. I’ve always enjoyed wearing female clothing. I’ve always felt more connected to females, and most of my friends are female. Even though I’m happily married to my wife, I’ve always been sexual attraction to men. These things have always lead to a feeling of shame. I can remember when I was around 5 years old, my parents caught me trying on some pantyhose. They had a very long conversation with me (yelling actually) about how wrong it was. Since then I’ve always had feelings of shame. Not allowing anyone to know that I enjoyed being girly, as it was shameful and unnatural, until I told my wife 8 years ago. Typing this it seems silly now, but I convinced (or fooled) myself that I was a normal guy. It was normal for men to want to be female (still to this point honestly don't understand how they couldn’t). I debate this with my wife, whom says most men don’t feel this way. It has been a long road to get where I am today and my wife has been 100% supportive of me.

&#x200B;

I plan on being married to her for the rest of my life. I can’t imagine ever being with anyone else. I don’t know if I will ever transition. However having my current name tattooed on her, would be a constant reminder to me of my male self. She stats it would be a good thing to remember who I was, but all I can think of is the fact there will always be people to remind me of who I was and who I never will truly be. I also feel like I’m corrupting her perception of who I am or in the future who I was. Which I’m not. I myself would see that as a total asshole move, and even told her she could get my name as her tattoo, but I still have a hard time coping with it. We’ve talked about her getting a symbol to represent me as a tattoo. I know that’s not what she truly wants, and with everything that is going on, I can’t help but feel that I’m being selfish.

&#x200B;

So am I an asshole?",
26519,"AITA for having my own WiFi and changing the password? I’ve been living with P & Q for almost a year now. P is a person I knew from high school. Q is somebody I met briefly at a bar a year or two ago. It just so happened that the two of them live together and P asked me if I wanted to move in to a bedroom that was recently vacated. When I first moved in a year ago, I noticed that the house had a router, but I assumed that it belonged to P or Q. I had brought along a lot of devices for my room to connect to the Internet and I didn’t want to slow down their Internet. So, I decided to get my own router. I had mentioned it to P beforehand and he didn’t ask any questions about it. While I was setting it up, P was gone to see his family for the weekend and Q was in and out of the house, but he didn’t ask any questions about it. After some time, I noticed a couple things. First, the router in the house belonged to the landlord. Second, I found that my router’s signal was slightly stronger than the other router. I assumed it was due to the fact that the other router already had a bunch of devices connected to it and so I didn’t think much of it. 

A month ago, I noticed that my WiFi was acting a lot slower than usual. I decided to check the device list for the WiFi and noticed a few devices listed online that I didn’t recognize. So, I reset my router and change the password. I didn’t think much of this either until a day later when Q mentioned that he got booted off the WiFi (he referred to it by the name of the router manufacturer) and had to go back to the old WiFi at the house. That’s when I remembered that I had signed his laptop onto the WiFi a couple months ago since we were trying to watch a livestream of a football game and his WiFi (from the original router) was dropping in and out. While he left to go grab something from his room, I switched his laptop over to my WiFi. We were both pretty drunk at the time. So, neither of us remembered it (until recently for me) and Q never brought it up to me. I realize now that Q’s laptop was one of those devices. 

Now, Q always mentions how he got booted off and is not sure why/what happened. It’s put me in a bit of an awkward spot because I’m not sure if I’m an asshole for withholding my WiFi from my roommates. If I tell them about how I have my own router, I’m afraid that they’ll get mad at me for withholding it from them. While I told P about it long ago and Q saw me set it up, I don’t know if they remember that. 

Part of that fear also stems from a gradual falling out that I’m having with them (Q especially), where Q has explicitly said that he wished I didn’t live at the house and that he would’ve moved out if he had known earlier that I was moving in. So, I don’t foresee the friendship really extending beyond the moment I leave. Right now, I’m planning on just kinda keeping the situation as it is right now and just enduring the awkwardness until the end of our lease in a few weeks. Am I an asshole for doing this?",
64522,"AITA for not telling my best friends wife he was cheating on her? I've been debating this for weeks and I'm still unsure. 

My best friend, a guy (I'm female) has been having an affair, it's not the first time he has done something like this. The wife knew about one instance and forgave it. He didn't leave because he thought they could fix it and I think she was always scared to leave him. 

 I'm absolutely not defending his behaviour other than to say they were unhappy and its simply taken a long time to leave her because she kept putting that decision on him. They had issues but nothing huge, just small things that pilled up, another reason why it took so long for things to end. 

A few weeks ago we had a talk and he let slip that he's been playing around, I had a suspicion but he refused to tell me due to knowing I'd lose my shit. After he told me, it took another week for him to end his nearly two decade long marriage and I felt relived that it was finally done. 

My issue is, am I an asshole for not going to her with my suspicion that he was cheating? Bare in mind I've know her as long as I've known him but he is my friend, she was simply a friend through being his wife. Some part of me feels like it would have ended sooner if I'd told her, maybe saving her time she could have spent recovering but probably destroying my friendship with my bf in the process. Some part of me has that need for female solidarity and feels like I betrayed the sisterhood. One reason I didn't tell her was because he said he was ending it eventually, even when I had my suspicion months ago, he was adamant he was ending his marriage it was just about when. So I figured it would be better if she didn't know. That last part is void because she now knows and she's furious (rightly so). 

It's just an awkward situation and I'm not sure if I should have done things differently? AITA here?",
32476,"WIBTA for cutting my family out of my life when I turn 17 I'm gonna try to keep it simple. Things for me at home aren't exactly all that nice. My parents are constantly fighting and want a divorce. my mother's basically never present at this point and literally ONLY comes home for food or a place to sleep for the night (She spends the rest of the time with her boyfriend, whom I'm not too fond of due to his background and past acts, and the fact that he has been arrested multiple times. But my mom believes everyone deserves a second chance.) This always has my dad being agitated or things like that, and he often vents it by yelling at us or ranting for a while. and my mother always says that ""she loves us"" yet she basically acts like we don't exist anymore. not to mention they want me to choose who to go live with. which I don't want to hurt either party. So I've been refusing to choose one. But I'm sick of this lifestyle, I'm leaving as soon as I turn 17 (About 7 months from now.) and I haven't told either of them my plans yet because I know they'll do everything in their power to stop me. But I'm not happy with the way I'm living right now. my current plan is that the day I turn 17, I'm gonna leave town and state with a couple thousand dollars that I'm earning from a job I work at. I may or may not tell the day before. but all I know is that I WILL be doing that.. But when I do that, I want to just start a new life, that means dropping connections with my current family that's basically falling apart day by day, which already forces me in an unhappy situation that I want out of. 

WIBTA for leaving for leaving even against their will and just trying to force myself out of the situation?

TL;DR I'm leaving town and state when I turn 17, whether or not my parents will be against doesn't change what I will do. but that also means I'll be dropping my connections to them a lot and will be almost independent of them, requiring little, if anything at all from them. WIBTA?

Edit: the Legal age of being allowed to leave the household is 17 in my state, I've done a little research, not to mention my sister did the same thing when she turned 17 as well and the fighting started. Also, Where I'll be moving to, the people I'll stay with won't face any legal trouble, I've done my research a bit.",
68006,"AITA for choosing not to do anything about an annoying classmate being called names? Throwaway account because my friends follow my regular one and I’d rather they not see this. 

So I’m a junior in high school and like all juniors in high school, most of us look down on the freshmen. But I really try not to. I’ve gotten to know some really sweet freshies on the swim team, and the ones who go to Gender-Sexuality Alliance too. Obviously I understand the resent, as I was pretty chaotic as a freshman myself. But overall, I try to see past that. 

However, there’s this one kid in my band class. We’ll call him Neil. He plays oboe and does so pretty well, but he is probably the most annoying freshman I know of. And this ain’t a thing of most people love him but I don’t vibe with him. No. This kid is very much disliked by our entire band class because of his snarky, pretentious attitude. 

To give you some examples, one time my band director was correcting the double reeds on something, and out of nowhere Neil suddenly says, “My mom’s a doctor!” People laughed, not with him but at him. I, who sit right near to him, shot a look at my stand partner, and we both silently said to each other, “This is happening.”

He also one time called a lot of my upperclassmen friends bitches for no apparent reason. He’s been in high school for no more than a month. 

Then at our first football game of the marching season, we were told to wear black and red, our school colors, since we didn’t have our uniforms ready yet. And everyone shows up accordingly, all except for Neil, who comes with a bright blue sweater and gray shorts. When he was asked why, he went, “I mean I own black and red clothes but I didn’t feel like changing.” Not an excuse, if you ask me. 

So you’ve got the gist of things, now we get on to the important bit. So Neil’s an Indian-American, and he’s also very short and speaks with a high-pitched voice. His face also happens to be quite punchable. Not that anyone has punched his face, but who knows. 

So because of that, the band kids (mostly sophomores who tend to be nastiest to the freshies) started calling him Baljeet, after the character from Phineas and Ferb. I’m hearing it everywhere now, and everywhere Neil goes people start going “Eyyyy Baljeet!” He’s told them to stop, but no one has. 

I hate bullying. I’ve been there, done that. It’s an awful experience and I don’t want people to go through it. But now I don’t know what to do. I feel like if Neil had a better attitude about band, and was nicer to people than he’s been, people would take to him better. But you can’t ever justify being deliberately mean to someone. And he’s told them to stop, and so far I haven’t done anything. I’m a bystander. 

He’s not the only freshie with attitude problems, so I’m thinking of gathering all of the freshies in band and just giving them a gentle wake up call about their attitude. Who knows if it’ll work. 

So for the time being, AITA for not doing anything about an annoying kid getting called names?",
75861,"AITA Trying to order takeout I won't name the restaurant. Every Tuesday is pasta night. I think it's $5 off for any pasta.

It's large portions so it's enough for 2 meals. The plan was order some pasta and take it to work for 2nd shift. Perfect for 2 nights of dinner.

So I place my order to go. I was told the special only applies to eat-in, not take out. I don't understand this but say fine. So I take a seat at a table. They bring my food. I take a bite, tell them I'm full and want the rest in a doggy bag to go.

Why did I have to waste everyone's time to get my food? Take up table space, dirty some dishes etc. Either way the server got his 20% tip. I couldn't order a beer because I was on the way to work.

A couple of weeks later I went back. The server recognized me and let me do takeout. No problems. This went on for a couple months. Next time I went in the server told me his boss have him shit for doing it. So I had to to sit down again, order, them ask for a doggy bag. I guess this made his boss happy.

AITA?

Edit: for clarity.
My options are to eat in and pay $20 with tip or take out and pay $20 with tip. Since I don't order drinks or dessert in either scenario the cost is the same both ways.

I will sit in next time and finish half before taking the rest out. Full price or sale I can't eat more than that anyways. The only difference is I'm now taking up space and dirtying dishes.

Thanks for the feedback",
