,verdict
14043,not the asshole
60415,not the asshole
19597,not the asshole
48767,not the asshole
17366,not the asshole
48662,asshole
42258,not the asshole
51205,asshole
13183,not the asshole
24152,not the asshole
23123,not the asshole
61613,not the asshole
14444,not the asshole
7904,asshole
52109,asshole
1603,not the asshole
37576,not the asshole
40111,asshole
37897,not the asshole
29726,asshole
76558,not the asshole
21695,not the asshole
33089,not the asshole
72266,asshole
17830,not the asshole
37783,asshole
37420,asshole
30173,asshole
48485,not the asshole
26479,asshole
73473,asshole
44628,not the asshole
35433,not the asshole
7546,not the asshole
4470,not the asshole
44900,not the asshole
42155,not the asshole
8686,not the asshole
21433,not the asshole
51312,not the asshole
39294,not the asshole
4508,asshole
31498,not the asshole
13033,not the asshole
36411,not the asshole
2766,not the asshole
84869,not the asshole
16794,not the asshole
68568,asshole
8102,not the asshole
