,verdict,prediction,
69030,not the asshole,not the asshole,1
9920,asshole,not the asshole,0
60449,not the asshole,asshole,0
77905,not the asshole,not the asshole,1
93962,asshole,asshole,1
60237,asshole,asshole,1
28608,not the asshole,not the asshole,1
60722,not the asshole,not the asshole,1
32030,asshole,not the asshole,0
91384,not the asshole,not the asshole,1
56364,not the asshole,not the asshole,1
76685,asshole,asshole,1
97211,not the asshole,not the asshole,1
78336,not the asshole,not the asshole,1
37714,not the asshole,not the asshole,1
50550,asshole,asshole,1
72294,not the asshole,not the asshole,1
30174,not the asshole,not the asshole,1
64045,not the asshole,not the asshole,1
1431,not the asshole,asshole,0
10190,not the asshole,asshole,0
38634,asshole,asshole,1
49454,not the asshole,not the asshole,1
76209,not the asshole,not the asshole,1
5123,not the asshole,not the asshole,1
91152,asshole,not the asshoole,0
87205,not the asshole,not the asshole,1
887,not the asshole,not the asshole,1
23956,not the asshole,not the asshole,1
88006,not the asshole,not the asshole,1
15889,not the asshole,not the asshole,1
86498,asshole,not the asshole,0
34646,asshole,asshole,1
72029,not the asshole,not the asshole,1
45483,asshole,not the asshole,0
9389,asshole,not the asshole,0
89239,not the asshole,not the asshole,1
91590,not the asshole,not the asshole,1
82030,not the asshole,not the asshole,1
61281,not the asshole,not the asshole,1
28005,asshole,not the asshole,0
89197,not the asshole,not the asshole,1
12803,not the asshole,asshole,0
12894,not the asshole,not the asshole,1
15006,not the asshole,not the asshole,1
30517,not the asshole,not the asshole,1
85495,not the asshole,not the asshole,1
40325,not the asshole,not the asshole,1
89126,not the asshole,not the asshole,1
77904,not the asshole,not the asshole,1
,,,0.78
